filepaths,labels,data set
train/female/0001.jpg,female,train
train/female/0002.jpg,female,train
train/female/0003.jpg,female,train
train/female/0004.jpg,female,train
train/female/0005.jpg,female,train
train/female/0006.jpg,female,train
train/female/0007.jpg,female,train
train/female/0008.jpg,female,train
train/female/0009.jpg,female,train
train/female/0010.jpg,female,train
train/female/0011.jpg,female,train
train/female/0012.jpg,female,train
train/female/0013.jpg,female,train
train/female/0014.jpg,female,train
train/female/0015.jpg,female,train
train/female/0016.jpg,female,train
train/female/0017.jpg,female,train
train/female/0018.jpg,female,train
train/female/0019.jpg,female,train
train/female/0020.jpg,female,train
train/female/0021.jpg,female,train
train/female/0022.jpg,female,train
train/female/0023.jpg,female,train
train/female/0024.jpg,female,train
train/female/0025.jpg,female,train
train/female/0026.jpg,female,train
train/female/0027.jpg,female,train
train/female/0028.jpg,female,train
train/female/0029.jpg,female,train
train/female/0030.jpg,female,train
train/female/0031.jpg,female,train
train/female/0032.jpg,female,train
train/female/0033.jpg,female,train
train/female/0034.jpg,female,train
train/female/0035.jpg,female,train
train/female/0036.jpg,female,train
train/female/0037.jpg,female,train
train/female/0038.jpg,female,train
train/female/0039.jpg,female,train
train/female/0040.jpg,female,train
train/female/0041.jpg,female,train
train/female/0042.jpg,female,train
train/female/0043.jpg,female,train
train/female/0044.jpg,female,train
train/female/0045.jpg,female,train
train/female/0046.jpg,female,train
train/female/0047.jpg,female,train
train/female/0048.jpg,female,train
train/female/0049.jpg,female,train
train/female/0050.jpg,female,train
train/female/0051.jpg,female,train
train/female/0052.jpg,female,train
train/female/0053.jpg,female,train
train/female/0054.jpg,female,train
train/female/0055.jpg,female,train
train/female/0056.jpg,female,train
train/female/0057.jpg,female,train
train/female/0058.jpg,female,train
train/female/0059.jpg,female,train
train/female/0060.jpg,female,train
train/female/0061.jpg,female,train
train/female/0062.jpg,female,train
train/female/0063.jpg,female,train
train/female/0064.jpg,female,train
train/female/0065.jpg,female,train
train/female/0066.jpg,female,train
train/female/0067.jpg,female,train
train/female/0068.jpg,female,train
train/female/0069.jpg,female,train
train/female/0070.jpg,female,train
train/female/0071.jpg,female,train
train/female/0072.jpg,female,train
train/female/0073.jpg,female,train
train/female/0074.jpg,female,train
train/female/0075.jpg,female,train
train/female/0076.jpg,female,train
train/female/0077.jpg,female,train
train/female/0078.jpg,female,train
train/female/0079.jpg,female,train
train/female/0080.jpg,female,train
train/female/0081.jpg,female,train
train/female/0082.jpg,female,train
train/female/0083.jpg,female,train
train/female/0084.jpg,female,train
train/female/0085.jpg,female,train
train/female/0086.jpg,female,train
train/female/0087.jpg,female,train
train/female/0088.jpg,female,train
train/female/0089.jpg,female,train
train/female/0090.jpg,female,train
train/female/0091.jpg,female,train
train/female/0092.jpg,female,train
train/female/0093.jpg,female,train
train/female/0094.jpg,female,train
train/female/0095.jpg,female,train
train/female/0096.jpg,female,train
